sr_code,d_code,ts_code,tw_code,tw_name_eng,tw_name_mmr
MMR017,MMR017D006,MMR017024,MMR017024701,Bogale Town,ဘိုကလေး
MMR017,MMR017D005,MMR017022,MMR017022701,Danubyu Town,ဓနုဖြူ
MMR017,MMR017D006,MMR017026,MMR017026701,Dedaye Town,ဒေးဒရဲ
MMR017,MMR017D003,MMR017015,MMR017015701,Einme Town,အိမ်မဲ
MMR017,MMR017D002,MMR017008,MMR017008703,Du Yar Town,ဒူးယား
MMR017,MMR017D002,MMR017008,MMR017008701,Hinthada Town,ဟင်္သာတ
MMR017,MMR017D002,MMR017008,MMR017008702,Ta Loke Htaw Town,တလုတ္ထော်
MMR017,MMR017D002,MMR017013,MMR017013702,Htoogyi Town,ထူးကြီး
MMR017,MMR017D002,MMR017013,MMR017013701,Ingapu Town,အင်္ဂပူ
MMR017,MMR017D002,MMR017013,MMR017013703,Me Za Li Kone Town,မဲဇလီကုန်း
MMR017,MMR017D001,MMR017002,MMR017002701,Kangyidaunt Town,ကန်ကြီးထောင့်
MMR017,MMR017D006,MMR017025,MMR017025701,Kyaiklat Town,ကျိုက်လတ်
MMR017,MMR017D002,MMR017012,MMR017012702,Batye Town,ဘက်ရဲ
MMR017,MMR017D002,MMR017012,MMR017012701,Kyangin Town,ကြံခင်း
MMR017,MMR017D001,MMR017007,MMR017007701,Kyaunggon Town,ကျောင်းကုန်း
MMR017,MMR017D001,MMR017005,MMR017005702,Ahtaung Town,အထောင်
MMR017,MMR017D001,MMR017005,MMR017005701,Kyonpyaw Town,ကျုံပျော်
MMR017,MMR017D004,MMR017016,MMR017016704,Hainggyikyun Town,ဟိုင်းကြီးကျွန်း
MMR017,MMR017D004,MMR017016,MMR017016703,Labutta (3) Mile Town,လပွတ္တာ (၃) မိုင်
MMR017,MMR017D004,MMR017016,MMR017016701,Labutta Town,လပွတ္တာ
MMR017,MMR017D004,MMR017016,MMR017016702,Pyinsalu Town,ပြင်စလူ
MMR017,MMR017D002,MMR017010,MMR017010701,Lemyethna Town,လေးမျက်နှာ
MMR017,MMR017D005,MMR017019,MMR017019701,Maubin Town,မအူပင်
MMR017,MMR017D004,MMR017018,MMR017018701,Mawlamyinegyun Town,မော်လမြိုင်ကျွန်း
MMR017,MMR017D002,MMR017011,MMR017011703,In Pin Town,အင်ပင်
MMR017,MMR017D002,MMR017011,MMR017011702,Kanaung Town,ကနောင်
